roc_auc,pr_auc,precision,recall,f1,pred_positive_rate,pred_positive_count,support,positive_support,threshold,model,split
0.8938006004169435,0.4467547568964236,0.2201120797011208,0.7258726899383984,0.3377926421404682,0.12286741641802464,3212,26142,974,0.5,catboost_reference,val
0.8938006004169435,0.4467547568964236,0.34224924012158053,0.5780287474332649,0.42993508972890415,0.06292556040088747,1645,26142,974,0.7,catboost_reference,val
0.8938006004169435,0.4467547568964236,0.3905899925317401,0.5369609856262834,0.4522265456117596,0.05122025858771326,1339,26142,974,0.75,catboost_reference,val
0.8938006004169435,0.4467547568964236,0.44372093023255815,0.48973305954825463,0.465592972181552,0.04112156682732767,1075,26142,974,0.8,catboost_reference,val
0.8938006004169435,0.4467547568964236,0.500587544065805,0.43737166324435317,0.46684931506849314,0.03255297987912172,851,26142,974,0.85,catboost_reference,val
0.8938006004169435,0.4467547568964236,0.5848434925864909,0.364476386036961,0.44908285895003164,0.02321934052482595,607,26142,974,0.9,catboost_reference,val
0.8891185932790375,0.449348929450903,0.22525706940874035,0.7197125256673511,0.34312285854136076,0.11904215438757555,3112,26142,974,0.5,catboost_reference,test
0.8891185932790375,0.449348929450903,0.3609850939727803,0.5718685831622177,0.44259038537941997,0.059023793129829395,1543,26142,974,0.7,catboost_reference,test
0.8891185932790375,0.449348929450903,0.41153238546603477,0.5349075975359343,0.46517857142857144,0.04842781730548543,1266,26142,974,0.75,catboost_reference,test
0.8891185932790375,0.449348929450903,0.46322067594433397,0.4784394250513347,0.4707070707070707,0.0384821360263178,1006,26142,974,0.8,catboost_reference,test
0.8891185932790375,0.449348929450903,0.5339425587467362,0.419917864476386,0.47011494252873565,0.029301507153239998,766,26142,974,0.85,catboost_reference,test
0.8891185932790375,0.449348929450903,0.6208791208791209,0.3480492813141684,0.44605263157894737,0.020885930686252007,546,26142,974,0.9,catboost_reference,test
0.8844991431706245,0.4783997776363899,0.299170326988775,0.6293634496919918,0.40555739331789614,0.07837961900390177,2049,26142,974,0.5,lightgbm_default,val
0.8844991431706245,0.4783997776363899,0.47409579667644186,0.49794661190965095,0.485728592889334,0.039132430571494146,1023,26142,974,0.7,lightgbm_default,val
0.8844991431706245,0.4783997776363899,0.5169590643274854,0.4537987679671458,0.4833242208857299,0.032705990360339686,855,26142,974,0.75,lightgbm_default,val
0.8844991431706245,0.4783997776363899,0.5685997171145686,0.4127310061601643,0.47828673408685307,0.027044602555275035,707,26142,974,0.8,lightgbm_default,val
0.8844991431706245,0.4783997776363899,0.6346153846153846,0.3726899383983573,0.46959896507115134,0.021880498814168772,572,26142,974,0.85,lightgbm_default,val
0.8844991431706245,0.4783997776363899,0.7268408551068883,0.3141683778234086,0.43870967741935485,0.016104353148190653,421,26142,974,0.9,lightgbm_default,val
0.8687360159441081,0.4778541982182451,0.31832298136645965,0.6314168377823408,0.4232622161046111,0.07390406242827634,1932,26142,974,0.5,lightgbm_default,test
0.8687360159441081,0.4778541982182451,0.49230769230769234,0.4928131416837782,0.49256028732683427,0.037296304796878586,975,26142,974,0.7,lightgbm_default,test
0.8687360159441081,0.4778541982182451,0.5548549810844893,0.4517453798767967,0.4980192416525184,0.03033432790146125,793,26142,974,0.75,lightgbm_default,test
0.8687360159441081,0.4778541982182451,0.6055469953775039,0.40349075975359344,0.48428835489833644,0.024825950577614567,649,26142,974,0.8,lightgbm_default,test
0.8687360159441081,0.4778541982182451,0.6686274509803921,0.35010266940451745,0.45956873315363883,0.019508836355290337,510,26142,974,0.85,lightgbm_default,test
0.8687360159441081,0.4778541982182451,0.7304785894206549,0.29774127310061604,0.42304886943836617,0.01518629026088287,397,26142,974,0.9,lightgbm_default,test
0.8894421275476436,0.47843041177901985,0.26882160392798693,0.6745379876796714,0.3844353423054418,0.09348940402417566,2444,26142,974,0.5,lightgbm_tuned_small,val
0.8894421275476436,0.47843041177901985,0.4233278955954323,0.5328542094455853,0.4718181818181818,0.04689771249330579,1226,26142,974,0.7,lightgbm_tuned_small,val
0.8894421275476436,0.47843041177901985,0.47099311701081614,0.4917864476386037,0.48116524359618285,0.0389029148496672,1017,26142,974,0.75,lightgbm_tuned_small,val
0.8894421275476436,0.47843041177901985,0.5329268292682927,0.4486652977412731,0.48717948717948717,0.03136714864968251,820,26142,974,0.8,lightgbm_tuned_small,val
0.8894421275476436,0.47843041177901985,0.5840840840840841,0.3993839835728953,0.474390243902439,0.02547624512279091,666,26142,974,0.85,lightgbm_tuned_small,val
0.8894421275476436,0.47843041177901985,0.6646706586826348,0.34188911704312114,0.45152542372881355,0.01916456277254992,501,26142,974,0.9,lightgbm_tuned_small,val
0.8755086761521101,0.4714870600549108,0.2777053455019557,0.6560574948665298,0.3902290076335878,0.08801927932063347,2301,26142,974,0.5,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.4483648881239243,0.5349075975359343,0.48782771535580527,0.04444954479381838,1162,26142,974,0.7,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.5015576323987538,0.49589322381930184,0.49870934434692826,0.036837273353224696,963,26142,974,0.75,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.5577172503242542,0.4414784394250513,0.49283667621776506,0.029492770254762452,771,26142,974,0.8,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.6185737976782753,0.38295687885010266,0.47305009511731133,0.023066330043607988,603,26142,974,0.85,lightgbm_tuned_small,test
0.8755086761521101,0.4714870600549108,0.6952595936794582,0.3162217659137577,0.4347212420606916,0.01694591079488945,443,26142,974,0.9,lightgbm_tuned_small,test
0.8918729994804522,0.4628720534849315,0.23211920529801325,0.7197125256673511,0.3510265398097146,0.1155229133195624,3020,26142,974,0.5,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.3712737127371274,0.5626283367556468,0.4473469387755102,0.05646086756942851,1476,26142,974,0.7,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.41625207296849087,0.5154004106776181,0.46055045871559636,0.046132660087215976,1206,26142,974,0.75,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.4786235662148071,0.47125256673511295,0.47490946714950855,0.03668426287200673,959,26142,974,0.8,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.5384615384615384,0.41683778234086244,0.4699074074074074,0.028842475709586108,754,26142,974,0.85,xgboost_default,val
0.8918729994804522,0.4628720534849315,0.6104129263913824,0.3490759753593429,0.4441541476159373,0.021306709509601406,557,26142,974,0.9,xgboost_default,val
0.8856062618546284,0.47268328660613307,0.23429541595925296,0.7084188911704312,0.35213064557285023,0.11265396679672558,2945,26142,974,0.5,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.3949820788530466,0.5657084188911704,0.46517517940059094,0.053362405324764745,1395,26142,974,0.7,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.4488888888888889,0.5184804928131417,0.4811815150071463,0.04303419784255221,1125,26142,974,0.75,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.5233219567690558,0.4722792607802875,0.496492174851592,0.033624053247647466,879,26142,974,0.8,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.5953757225433526,0.42299794661190965,0.49459783913565425,0.026470813250707673,692,26142,974,0.85,xgboost_default,test
0.8856062618546284,0.47268328660613307,0.6535433070866141,0.3408624229979466,0.44804318488529016,0.019432331114681355,508,26142,974,0.9,xgboost_default,test
0.8924859033536932,0.45852376190964667,0.2134998513232233,0.7371663244353183,0.33110445008070094,0.12864356208400277,3363,26142,974,0.5,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.34359903381642515,0.5841889117043121,0.4326996197718631,0.06334633922423687,1656,26142,974,0.7,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.3933579335793358,0.5472279260780287,0.45770717045942466,0.05183230051258511,1355,26142,974,0.75,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.45200372786579684,0.49794661190965095,0.4738641914997557,0.04104506158671869,1073,26142,974,0.8,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.5160493827160494,0.42915811088295686,0.46860986547085204,0.030984622446637595,810,26142,974,0.85,xgboost_tuned_small,val
0.8924859033536932,0.45852376190964667,0.5912897822445561,0.3624229979466119,0.44939528962444303,0.022836814321781043,597,26142,974,0.9,xgboost_tuned_small,val
0.8879347417795942,0.46258911559786187,0.21842267406038202,0.7279260780287474,0.3360189573459716,0.12416800550837732,3246,26142,974,0.5,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.3588456712672522,0.5872689938398358,0.4454828660436137,0.06097467676535843,1594,26142,974,0.7,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.42151394422310756,0.5431211498973306,0.474652310453118,0.04800703848213603,1255,26142,974,0.75,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.484,0.49691991786447637,0.49037487335359675,0.03825262030449086,1000,26142,974,0.8,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.5557011795543906,0.4353182751540041,0.4881980426021877,0.029186749292326526,763,26142,974,0.85,xgboost_tuned_small,test
0.8879347417795942,0.46258911559786187,0.6327272727272727,0.35728952772073924,0.4566929133858268,0.02103894116746997,550,26142,974,0.9,xgboost_tuned_small,test
