model,split,threshold,precision,recall,f1,pred_positive_rate,pred_positive_count
lgbm_pr_default_seed42,val,0.5,0.2967459932005828,0.6273100616016427,0.402901417738213,0.07876214520694667,2059
lgbm_pr_default_seed42,val,0.6,0.37,0.5698151950718686,0.4486661277283751,0.05737893045673629,1500
lgbm_pr_default_seed42,val,0.65,0.4206730769230769,0.5390143737166324,0.47254725472547254,0.04773927014000459,1248
lgbm_pr_default_seed42,val,0.7,0.4583723105706268,0.5030800821355236,0.47968673519334315,0.040892051105500725,1069
lgbm_pr_default_seed42,val,0.75,0.5090497737556561,0.4620123203285421,0.48439181916038754,0.03381531634916992,884
lgbm_pr_default_seed42,val,0.8,0.5662983425414365,0.4209445585215606,0.4829210836277974,0.02769489710045138,724
lgbm_pr_default_seed42,val,0.85,0.6183986371379898,0.3726899383983573,0.46508648302370276,0.022454288118736135,587
lgbm_pr_default_seed42,val,0.9,0.7087155963302753,0.31724845995893225,0.43829787234042555,0.016678142452758015,436
lgbm_pr_default_seed42,val,0.95,0.7755905511811023,0.20225872689938398,0.32084690553745926,0.009716165557340678,254
lgbm_pr_default_seed42,test,0.5,0.31298101590559263,0.6262833675564682,0.41737940472117685,0.07455435697345268,1949
lgbm_pr_default_seed42,test,0.6,0.39363957597173144,0.5718685831622177,0.46630389284219337,0.05412745773085456,1415
lgbm_pr_default_seed42,test,0.65,0.44247038917089676,0.5369609856262834,0.48515769944341375,0.045214597199908196,1182
lgbm_pr_default_seed42,test,0.7,0.4879032258064516,0.49691991786447637,0.4923702950152594,0.03794659934205493,992
lgbm_pr_default_seed42,test,0.75,0.5445665445665445,0.45790554414784396,0.4974902398215282,0.031328896029378016,819
lgbm_pr_default_seed42,test,0.8,0.6072507552870091,0.4127310061601643,0.49144254278728605,0.025323234641572948,662
lgbm_pr_default_seed42,test,0.85,0.6737864077669903,0.35626283367556466,0.46608462055070515,0.01970009945681279,515
lgbm_pr_default_seed42,test,0.9,0.7412060301507538,0.3028747433264887,0.43002915451895046,0.015224542881187362,398
lgbm_pr_default_seed42,test,0.95,0.8232558139534883,0.18172484599589322,0.2977291841883936,0.008224313365465535,215
lgbm_pr_default_seed2026,val,0.5,0.3212520593080725,0.6006160164271047,0.4186046511627907,0.06965802157447785,1821
lgbm_pr_default_seed2026,val,0.6,0.3974926253687316,0.553388090349076,0.46266094420600856,0.0518705531328896,1356
lgbm_pr_default_seed2026,val,0.65,0.4486148346738159,0.5154004106776181,0.47969421882465363,0.04280468212072527,1119
lgbm_pr_default_seed2026,val,0.7,0.48625792811839325,0.4722792607802875,0.4791666666666667,0.03618697880804835,946
lgbm_pr_default_seed2026,val,0.75,0.5372005044136192,0.43737166324435317,0.48217317487266553,0.03033432790146125,793
lgbm_pr_default_seed2026,val,0.8,0.5993690851735016,0.39014373716632444,0.472636815920398,0.024252161273047204,634
lgbm_pr_default_seed2026,val,0.85,0.6590038314176245,0.3531827515400411,0.45989304812834225,0.019967867798944227,522
lgbm_pr_default_seed2026,val,0.9,0.7212713936430318,0.3028747433264887,0.42660882140274764,0.015645321704536762,409
lgbm_pr_default_seed2026,val,0.95,0.782608695652174,0.2032854209445585,0.32273838630806845,0.009677912937036187,253
lgbm_pr_default_seed2026,test,0.5,0.3399532710280374,0.5975359342915811,0.43335815338793743,0.06548848596128835,1712
lgbm_pr_default_seed2026,test,0.6,0.4207606973058637,0.5451745379876797,0.4749552772808587,0.04827480682426746,1262
lgbm_pr_default_seed2026,test,0.65,0.4720908230842006,0.5123203285420944,0.4913835548990645,0.040433019661846835,1057
lgbm_pr_default_seed2026,test,0.7,0.5178173719376392,0.47741273100616016,0.4967948717948718,0.03435085303343279,898
lgbm_pr_default_seed2026,test,0.75,0.5706594885598923,0.4353182751540041,0.4938846825859057,0.02842169688623671,743
lgbm_pr_default_seed2026,test,0.8,0.6359060402684564,0.3891170431211499,0.48280254777070064,0.022798561701476552,596
lgbm_pr_default_seed2026,test,0.85,0.6864406779661016,0.3326488706365503,0.44813278008298757,0.018055236783719685,472
lgbm_pr_default_seed2026,test,0.9,0.7577464788732394,0.27618069815195073,0.40481565086531224,0.013579680208094254,355
lgbm_pr_default_seed2026,test,0.95,0.8304347826086956,0.19609856262833675,0.31727574750830567,0.008798102670032898,230
lgbm_pr_default_seed777,val,0.5,0.30683544303797466,0.62217659137577,0.41098677517802645,0.07554892510136944,1975
lgbm_pr_default_seed777,val,0.6,0.3776077885952712,0.5574948665297741,0.4502487562189055,0.05500726799785785,1438
lgbm_pr_default_seed777,val,0.65,0.4228855721393035,0.5236139630390144,0.46788990825688076,0.046132660087215976,1206
lgbm_pr_default_seed777,val,0.7,0.47647647647647645,0.4887063655030801,0.48251393816523064,0.038214367684186366,999
lgbm_pr_default_seed777,val,0.75,0.516867469879518,0.4404517453798768,0.47560975609756095,0.031749674852727415,830
lgbm_pr_default_seed777,val,0.8,0.5807407407407408,0.4024640657084189,0.47543966040024255,0.02582051870553133,675
lgbm_pr_default_seed777,val,0.85,0.6373429084380611,0.364476386036961,0.4637491835401698,0.021306709509601406,557
lgbm_pr_default_seed777,val,0.9,0.7083333333333334,0.3141683778234086,0.4352773826458037,0.01652513197154005,432
lgbm_pr_default_seed777,val,0.95,0.7807692307692308,0.20841889117043122,0.32901134521880065,0.009945681279167623,260
lgbm_pr_default_seed777,test,0.5,0.32165948275862066,0.6129363449691991,0.4219081272084806,0.07099686328513503,1856
lgbm_pr_default_seed777,test,0.6,0.398822663723326,0.5564681724845996,0.46463780540077154,0.051985310993803074,1359
lgbm_pr_default_seed777,test,0.65,0.45342706502636204,0.5297741273100616,0.48863636363636365,0.04353148190651059,1138
lgbm_pr_default_seed777,test,0.7,0.5015673981191222,0.4928131416837782,0.4971517348524081,0.03660775763139775,957
lgbm_pr_default_seed777,test,0.75,0.5531645569620253,0.4486652977412731,0.4954648526077097,0.030219570040547778,790
lgbm_pr_default_seed777,test,0.8,0.6158730158730159,0.39835728952772076,0.4837905236907731,0.02409915079182924,630
lgbm_pr_default_seed777,test,0.85,0.6773547094188377,0.3470225872689938,0.4589273591310251,0.019088057531940938,499
lgbm_pr_default_seed777,test,0.9,0.7578947368421053,0.29568788501026694,0.4254062038404727,0.014535995715706527,380
lgbm_pr_default_seed777,test,0.95,0.8260869565217391,0.19507186858316222,0.31561461794019935,0.008798102670032898,230
lgbm_auc_default_seed42,val,0.5,0.21701232341448753,0.7412731006160165,0.3357358753778191,0.1272664677530411,3327
lgbm_auc_default_seed42,val,0.6,0.27523324851569125,0.6663244353182751,0.3895558223289316,0.09019967867798945,2358
lgbm_auc_default_seed42,val,0.65,0.3160860655737705,0.63347022587269,0.42173615857826385,0.07466911483436615,1952
lgbm_auc_default_seed42,val,0.7,0.3514018691588785,0.5790554414784395,0.43737882900348973,0.06139545558870783,1605
lgbm_auc_default_seed42,val,0.75,0.3953125,0.5195071868583162,0.4489795918367347,0.0489633539897483,1280
lgbm_auc_default_seed42,val,0.8,0.46061814556331004,0.47433264887063653,0.4673748103186646,0.03836737816540433,1003
lgbm_auc_default_seed42,val,0.85,0.5280612244897959,0.42505133470225875,0.4709897610921502,0.029990054318720833,784
lgbm_auc_default_seed42,val,0.9,0.593103448275862,0.3531827515400411,0.44272844272844275,0.0221865197766047,580
lgbm_auc_default_seed42,val,0.95,0.7,0.20841889117043122,0.3212025316455696,0.01109325988830235,290
lgbm_auc_default_seed42,test,0.5,0.2177668106107341,0.7248459958932238,0.3349146110056926,0.12401499502715936,3242
lgbm_auc_default_seed42,test,0.6,0.2870493991989319,0.662217659137577,0.4004967401428128,0.08595363782419095,2247
lgbm_auc_default_seed42,test,0.65,0.32643312101910826,0.6314168377823408,0.43037088873338,0.07206793665366078,1884
lgbm_auc_default_seed42,test,0.7,0.36713735558408217,0.5872689938398358,0.4518167456556082,0.05959758243439676,1558
lgbm_auc_default_seed42,test,0.75,0.420032310177706,0.5338809034907598,0.4701627486437613,0.04735674393695968,1238
lgbm_auc_default_seed42,test,0.8,0.4905857740585774,0.4815195071868583,0.48601036269430054,0.03656950501109326,956
lgbm_auc_default_seed42,test,0.85,0.5561643835616439,0.41683778234086244,0.4765258215962441,0.027924412822278324,730
lgbm_auc_default_seed42,test,0.9,0.65439672801636,0.32854209445585214,0.4374572795625427,0.01870553132889603,489
lgbm_auc_default_seed42,test,0.95,0.7389558232931727,0.188911704312115,0.3008994276369583,0.009524902455818223,249
lgbm_auc_default_seed2026,val,0.5,0.21569802276812464,0.7392197125256673,0.3339517625231911,0.1276872465763905,3338
lgbm_auc_default_seed2026,val,0.6,0.2742616033755274,0.6673511293634496,0.388755980861244,0.09065871012164334,2370
lgbm_auc_default_seed2026,val,0.65,0.3094147582697201,0.6242299794661191,0.4137461721674039,0.07516639889832454,1965
lgbm_auc_default_seed2026,val,0.7,0.3558786346396966,0.5780287474332649,0.4405320813771518,0.06051564532170454,1582
lgbm_auc_default_seed2026,val,0.75,0.4029733959311424,0.528747433264887,0.4573712255772647,0.04888684874913932,1278
lgbm_auc_default_seed2026,val,0.8,0.4549950544015826,0.4722792607802875,0.4634760705289673,0.038673399127840256,1011
lgbm_auc_default_seed2026,val,0.85,0.532051282051282,0.4260780287474333,0.4732041049030787,0.02983704383750287,780
lgbm_auc_default_seed2026,val,0.9,0.5982300884955752,0.3470225872689938,0.4392462638076673,0.021612730472037333,565
lgbm_auc_default_seed2026,val,0.95,0.7107142857142857,0.20431211498973306,0.31738437001594894,0.01071073368525744,280
lgbm_auc_default_seed2026,test,0.5,0.21629126812712127,0.7197125256673511,0.33262158956109134,0.12397674240685487,3241
lgbm_auc_default_seed2026,test,0.6,0.2801231310466139,0.6540041067761807,0.3922413793103448,0.0869864585724122,2274
lgbm_auc_default_seed2026,test,0.65,0.3199365415124273,0.6211498973305954,0.4223385689354276,0.07233570499579221,1891
lgbm_auc_default_seed2026,test,0.7,0.3705386112913692,0.5862422997946611,0.4540755467196819,0.058947287889220414,1541
lgbm_auc_default_seed2026,test,0.75,0.4233278955954323,0.5328542094455853,0.4718181818181818,0.04689771249330579,1226
lgbm_auc_default_seed2026,test,0.8,0.491062039957939,0.4794661190965092,0.4851948051948052,0.036378241909570806,951
lgbm_auc_default_seed2026,test,0.85,0.5616438356164384,0.4209445585215606,0.4812206572769953,0.027924412822278324,730
lgbm_auc_default_seed2026,test,0.9,0.6451612903225806,0.32854209445585214,0.43537414965986393,0.018973299671027465,496
lgbm_auc_default_seed2026,test,0.95,0.7338709677419355,0.1868583162217659,0.2978723404255319,0.009486649835513733,248
lgbm_auc_default_seed777,val,0.5,0.21475312314098752,0.7412731006160165,0.33302583025830257,0.12860530946369828,3362
lgbm_auc_default_seed777,val,0.6,0.26905644829007,0.6704312114989733,0.38400470449867685,0.09283910947899932,2427
lgbm_auc_default_seed777,val,0.65,0.3109201213346815,0.6314168377823408,0.4166666666666667,0.07566368296228292,1978
lgbm_auc_default_seed777,val,0.7,0.35763670647391577,0.5841889117043121,0.4436647173489279,0.060859918904444955,1591
lgbm_auc_default_seed777,val,0.75,0.40015540015540013,0.528747433264887,0.45555064130915524,0.049231122331879734,1287
lgbm_auc_default_seed777,val,0.8,0.45717131474103584,0.47125256673511295,0.4641051567239636,0.03840563078570882,1004
lgbm_auc_default_seed777,val,0.85,0.5212355212355212,0.41581108829568786,0.46259280411193604,0.029722285976589397,777
lgbm_auc_default_seed777,val,0.9,0.6083916083916084,0.35728952772073924,0.4501940491591203,0.021880498814168772,572
lgbm_auc_default_seed777,val,0.95,0.7111913357400722,0.20225872689938398,0.3149480415667466,0.010595975824343967,277
lgbm_auc_default_seed777,test,0.5,0.2170186715641261,0.7279260780287474,0.334355104928083,0.12497131053477163,3267
lgbm_auc_default_seed777,test,0.6,0.27761194029850744,0.6683778234086243,0.39228683338354925,0.08970239461403107,2345
lgbm_auc_default_seed777,test,0.65,0.319706498951782,0.6262833675564682,0.42331714087439276,0.07298599954096856,1908
lgbm_auc_default_seed777,test,0.7,0.36855670103092786,0.5872689938398358,0.45288994457640536,0.05936806671256981,1552
lgbm_auc_default_seed777,test,0.75,0.4266994266994267,0.5349075975359343,0.4747152619589977,0.04670644939178334,1221
lgbm_auc_default_seed777,test,0.8,0.4827586206896552,0.47433264887063653,0.4785085447954428,0.03660775763139775,957
lgbm_auc_default_seed777,test,0.85,0.5512995896032832,0.4137577002053388,0.4727272727272727,0.027962665442582815,731
lgbm_auc_default_seed777,test,0.9,0.647410358565737,0.3336755646817248,0.44037940379403795,0.01920281539285441,502
lgbm_auc_default_seed777,test,0.95,0.752,0.19301848049281314,0.30718954248366015,0.009563155076122714,250
lgbm_auc_more_leaves_seed42,val,0.5,0.22381994373241637,0.7351129363449692,0.3431583992331656,0.12237013235406625,3199
lgbm_auc_more_leaves_seed42,val,0.6,0.28416013925152306,0.6704312114989733,0.3991442542787286,0.08790452145972,2298
lgbm_auc_more_leaves_seed42,val,0.65,0.31943720687858257,0.6293634496919918,0.42378154165226406,0.07340677836431796,1919
lgbm_auc_more_leaves_seed42,val,0.7,0.358974358974359,0.5749486652977412,0.4419889502762431,0.05967408767500574,1560
lgbm_auc_more_leaves_seed42,val,0.75,0.40455616653574233,0.528747433264887,0.4583889630618603,0.04869558564761686,1273
lgbm_auc_more_leaves_seed42,val,0.8,0.46403242147923,0.4702258726899384,0.46710861805201426,0.037755336240532476,987
lgbm_auc_more_leaves_seed42,val,0.85,0.5369393139841688,0.41786447638603696,0.46997690531177827,0.02899548619080407,758
lgbm_auc_more_leaves_seed42,val,0.9,0.6115107913669064,0.3490759753593429,0.4444444444444444,0.021268456889296915,556
lgbm_auc_more_leaves_seed42,val,0.95,0.7075812274368231,0.20123203285420946,0.3133493205435651,0.010595975824343967,277
lgbm_auc_more_leaves_seed42,test,0.5,0.22386144964720975,0.7166324435318275,0.3411534701857282,0.1192716701094025,3118
lgbm_auc_more_leaves_seed42,test,0.6,0.2862302483069977,0.6509240246406571,0.39761680777673253,0.08472955397444724,2215
lgbm_auc_more_leaves_seed42,test,0.65,0.32563138097796884,0.62217659137577,0.4275132275132275,0.07118812638665749,1861
lgbm_auc_more_leaves_seed42,test,0.7,0.37866666666666665,0.5831622176591376,0.45917542441390463,0.05737893045673629,1500
lgbm_auc_more_leaves_seed42,test,0.75,0.43507030603804797,0.5400410677618069,0.4819056344480073,0.04624741794812945,1209
lgbm_auc_more_leaves_seed42,test,0.8,0.4942528735632184,0.4856262833675565,0.48990160538581046,0.03660775763139775,957
lgbm_auc_more_leaves_seed42,test,0.85,0.5645604395604396,0.4219712525667351,0.48296122209165687,0.027847907581669343,728
lgbm_auc_more_leaves_seed42,test,0.9,0.6417004048582996,0.32546201232032856,0.4318801089918256,0.018896794430418484,494
lgbm_auc_more_leaves_seed42,test,0.95,0.7478991596638656,0.18275154004106775,0.29372937293729373,0.009104123632468824,238
lgbm_auc_more_leaves_seed2026,val,0.5,0.22602089268755934,0.7330595482546202,0.345511734817324,0.12084002754188662,3159
lgbm_auc_more_leaves_seed2026,val,0.6,0.27986200948684775,0.6663244353182751,0.3941694503492256,0.0887078264861143,2319
lgbm_auc_more_leaves_seed2026,val,0.65,0.3179405520169851,0.6149897330595483,0.4191742477256823,0.07206793665366078,1884
lgbm_auc_more_leaves_seed2026,val,0.7,0.3669250645994832,0.5831622176591376,0.45043616177636797,0.05921505623135185,1548
lgbm_auc_more_leaves_seed2026,val,0.75,0.4142059058260176,0.5328542094455853,0.46609788953749437,0.047930533241527046,1253
lgbm_auc_more_leaves_seed2026,val,0.8,0.4657258064516129,0.47433264887063653,0.46998982706002035,0.03794659934205493,992
lgbm_auc_more_leaves_seed2026,val,0.85,0.544137022397892,0.4240246406570842,0.4766301211771495,0.029033738811108562,759
lgbm_auc_more_leaves_seed2026,val,0.9,0.6143911439114391,0.34188911704312114,0.4393139841688654,0.020732920205034044,542
lgbm_auc_more_leaves_seed2026,val,0.95,0.717391304347826,0.2032854209445585,0.3168,0.010557723204039476,276
